id,timeframe,computed_at,best_params,net_sharpe,net_return,max_drawdown,n_trades,win_rate,param_grid_size,lookback_days,min_trades,eligible_candidates,total_candidates,status,rejection_reason,max_dd_used,rejected_by_min_trades,rejected_by_max_dd,rejected_by_both,max_trades_seen,best_dd_seen,folds_used,oos_trades,oos_win_rate,worst_fold_dd,rejected_oos_folds
218,30m,2026-03-04 02:20:14.512701+03,"{""r_min"": 0.15, ""cost_bps"": 5, ""hold_bars"": 1, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",-0.0349096258207178,0.008175066315474442,0.01811129023365143,21,0.6190476190476191,243,30,8,27,243,OK,,0.2,675,0,0,68,0,2,21,0.6190476190476191,0.01811129023365143,216
219,1m,2026-03-04 02:55:44.337223+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 1, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 200}",-0.5272426105652981,-0.06735260337374345,0.10185878926149404,136,0.25735294117647056,243,7,80,12,243,OK,,0.5,522,9,0,206,0.012477503663408829,2,136,0.25735294117647056,0.10185878926149404,231
220,5m,2026-03-04 02:57:01.665221+03,"{""r_min"": 0.15, ""cost_bps"": 5, ""hold_bars"": 2, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 200}",0.04137124814798342,0.00525566886674407,0.01848612384403492,39,0.4358974358974359,243,45,20,210,243,OK,,0.45,99,24,0,184,0.044812825998143506,2,39,0.4358974358974359,0.01848612384403492,33
221,15m,2026-03-04 02:57:37.120713+03,"{""r_min"": 0.1, ""cost_bps"": 5, ""hold_bars"": 2, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",0.17343057910656615,0.007557536361774885,0.007415114708342219,14,0.6428571428571429,243,30,10,99,243,OK,,0.25,306,6,0,82,0.007180501392099026,3,14,0.6428571428571429,0.007415114708342219,144
222,30m,2026-03-04 02:57:52.118853+03,"{""r_min"": 0.15, ""cost_bps"": 5, ""hold_bars"": 1, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",-0.0349096258207178,0.008175066315474442,0.01811129023365143,21,0.6190476190476191,243,30,8,27,243,OK,,0.2,675,0,0,68,0,2,21,0.6190476190476191,0.01811129023365143,216
223,1m,2026-03-04 03:59:45.911813+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 1, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",-0.5610185788807552,-0.072247693997194,0.10071466527414262,143,0.2517482517482518,243,7,80,12,243,OK,,0.5,522,9,0,206,0.012477503663408829,2,143,0.2517482517482518,0.10071466527414262,231
224,5m,2026-03-04 04:01:02.714422+03,"{""r_min"": 0.15, ""cost_bps"": 5, ""hold_bars"": 2, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 200}",0.04137124814798342,0.00525566886674407,0.01848612384403492,39,0.4358974358974359,243,45,20,210,243,OK,,0.45,99,24,0,184,0.044812825998143506,2,39,0.4358974358974359,0.01848612384403492,33
225,15m,2026-03-04 04:01:38.471882+03,"{""r_min"": 0.1, ""cost_bps"": 5, ""hold_bars"": 2, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",0.17343057910656615,0.007557536361774885,0.007415114708342219,14,0.6428571428571429,243,30,10,99,243,OK,,0.25,306,6,0,82,0.007180501392099026,3,14,0.6428571428571429,0.007415114708342219,144
226,30m,2026-03-04 04:01:54.239493+03,"{""r_min"": 0.15, ""cost_bps"": 5, ""hold_bars"": 1, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",-0.0349096258207178,0.008175066315474442,0.01811129023365143,21,0.6190476190476191,243,30,8,27,243,OK,,0.2,675,0,0,68,0,2,21,0.6190476190476191,0.01811129023365143,216
227,1m,2026-03-04 04:59:41.248814+03,"{""r_min"": 0.05, ""cost_bps"": 5, ""hold_bars"": 1, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",-0.5880562843849708,-0.06705760747985268,0.08357204765377833,131,0.22900763358778625,243,7,80,6,243,OK,,0.5,522,9,0,206,0.012477503663408829,2,131,0.22900763358778625,0.08357204765377833,237
228,5m,2026-03-04 05:00:31.515879+03,"{""r_min"": 0.15, ""cost_bps"": 5, ""hold_bars"": 2, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 200}",0.03925818071547517,0.00487032023127083,0.01848612384403492,35,0.45714285714285713,243,45,20,210,243,OK,,0.45,99,24,0,184,0.044812825998143506,2,35,0.45714285714285713,0.01848612384403492,33
229,15m,2026-03-04 05:00:49.858608+03,"{""r_min"": 0.1, ""cost_bps"": 5, ""hold_bars"": 2, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",0.17343057910656615,0.007557536361774885,0.007415114708342219,14,0.6428571428571429,243,30,10,99,243,OK,,0.25,306,6,0,82,0.007180501392099026,3,14,0.6428571428571429,0.007415114708342219,144
230,30m,2026-03-04 05:00:59.825635+03,"{""r_min"": 0.15, ""cost_bps"": 5, ""hold_bars"": 1, ""quantile_hi"": 0.85, ""quantile_lo"": 0.15, ""quantile_window"": 150}",-0.0349096258207178,0.008175066315474442,0.01811129023365143,21,0.6190476190476191,243,30,8,27,243,OK,,0.2,675,0,0,68,0,2,21,0.6190476190476191,0.01811129023365143,216
231,1m,2026-03-04 06:12:46.378121+03,"{""r_min"": 0.1, ""cost_bps"": 10, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}",0,0,0,0,0,243,7,80,0,243,NO_VALID_PARAMS,"Walk-forward (3 folds, 3 valid) — no eligible candidates. IS: rej_mt=522 rej_dd=9 rej_both=0. OOS: rej_folds=243 (need >=2 folds with >=40 OOS trades each).",0.5,522,9,0,196,0.012477503663408829,0,0,0,0,243
