ts,epic,buyers_pct,sellers_pct
2026-03-03 22:50:49.569383+03,ETHUSD,88.56,11.44
2026-03-03 22:51:20.459809+03,ETHUSD,88.56,11.44
2026-03-03 22:51:51.457396+03,ETHUSD,88.56,11.44
2026-03-03 22:52:22.321461+03,ETHUSD,88.56,11.44
2026-03-03 22:52:53.518473+03,ETHUSD,88.59,11.41
2026-03-03 22:55:00.198896+03,ETHUSD,88.59,11.41
2026-03-03 23:00:39.23869+03,ETHUSD,88.58,11.42
2026-03-03 23:01:40.480735+03,ETHUSD,88.58,11.42
2026-03-03 23:02:42.255055+03,ETHUSD,88.58,11.42
2026-03-04 18:24:46.526815+03,ETHUSD,86.03,13.97
2026-03-04 18:25:21.951568+03,ETHUSD,86.03,13.97
2026-03-04 18:59:13.121512+03,ETHUSD,85.88,14.12
2026-03-04 19:03:29.039646+03,ETHUSD,85.88,14.12
2026-03-04 19:04:30.126761+03,ETHUSD,85.74,14.26
2026-03-04 19:07:02.493499+03,ETHUSD,85.74,14.26
2026-03-04 19:08:03.340833+03,ETHUSD,85.74,14.26
2026-03-04 19:13:15.708659+03,ETHUSD,86.1,13.9
2026-03-04 20:21:48.527274+03,ETHUSD,84.08,15.92
2026-03-04 20:22:50.303581+03,ETHUSD,84.08,15.92
2026-03-04 20:29:32.606102+03,ETHUSD,83.99,16.01
2026-03-04 20:30:34.262822+03,ETHUSD,83.99,16.01
2026-03-04 20:35:10.926987+03,ETHUSD,83.99,16.01
2026-03-04 20:35:41.376934+03,ETHUSD,83.99,16.01
2026-03-04 20:41:29.231484+03,ETHUSD,83.94,16.06
2026-03-04 20:43:05.281478+03,ETHUSD,84.16,15.84
2026-03-04 21:08:06.371472+03,ETHUSD,83.86,16.14
2026-03-04 21:11:41.996262+03,ETHUSD,83.63,16.37
2026-03-04 21:40:29.516074+03,ETHUSD,83.37,16.63
2026-03-04 21:42:38.562944+03,ETHUSD,83.37,16.63
2026-03-04 21:43:40.086795+03,ETHUSD,83.37,16.63
2026-03-04 21:45:43.389086+03,ETHUSD,83.15,16.85
2026-03-04 21:46:14.618455+03,ETHUSD,83.15,16.85
2026-03-04 21:46:46.244049+03,ETHUSD,83.15,16.85
2026-03-04 22:51:39.682655+03,ETHUSD,84.32,15.68
2026-03-05 00:30:04.207432+03,ETHUSD,82.91,17.09
2026-03-05 01:06:56.927345+03,ETHUSD,83.46,16.54
2026-03-05 01:31:22.852763+03,ETHUSD,83.23,16.77
2026-03-05 04:37:10.936257+03,ETHUSD,83.4,16.6
2026-03-05 04:39:14.435236+03,ETHUSD,83.4,16.6
2026-03-05 04:42:20.223388+03,ETHUSD,83.38,16.62
2026-03-05 04:46:24.476044+03,ETHUSD,83.38,16.62
2026-03-05 12:53:58.256152+03,ETHUSD,84.82,15.18
2026-03-05 12:54:29.168929+03,ETHUSD,84.82,15.18
2026-03-05 16:06:09.591527+03,ETHUSD,85.22,14.78
2026-03-05 16:06:40.474876+03,ETHUSD,85.22,14.78
2026-03-05 16:08:11.157376+03,ETHUSD,85.22,14.78
2026-03-05 16:16:15.438356+03,ETHUSD,85.22,14.78
2026-03-05 16:36:00.91588+03,ETHUSD,84.91,15.09
2026-03-05 18:16:15.749779+03,ETHUSD,85.42,14.58
2026-03-05 18:19:51.72664+03,ETHUSD,85.3,14.7
2026-03-05 18:25:06.635002+03,ETHUSD,85.32,14.68
2026-03-05 18:29:39.984679+03,ETHUSD,85.42,14.58
2026-03-05 18:33:45.130043+03,ETHUSD,85.42,14.58
2026-03-05 18:35:16.131345+03,ETHUSD,85.42,14.58
2026-03-05 18:37:49.323883+03,ETHUSD,85.28,14.72
2026-03-05 18:38:51.665599+03,ETHUSD,85.28,14.72
2026-03-05 18:41:35.107117+03,ETHUSD,85.47,14.53
2026-03-05 18:46:16.809032+03,ETHUSD,85.47,14.53
2026-03-05 18:50:21.249219+03,ETHUSD,85.46,14.54
2026-03-05 18:53:56.915703+03,ETHUSD,85.46,14.54
2026-03-05 19:01:22.037776+03,ETHUSD,85.53,14.47
2026-03-05 19:02:22.571825+03,ETHUSD,85.53,14.47
2026-03-05 19:13:12.705874+03,ETHUSD,85.75,14.25
2026-03-05 19:13:43.207424+03,ETHUSD,85.75,14.25
2026-03-05 19:15:48.858479+03,ETHUSD,85.64,14.36
2026-03-05 19:18:58.925528+03,ETHUSD,85.64,14.36
2026-03-05 19:20:31.807281+03,ETHUSD,85.64,14.36
2026-03-05 19:21:02.196072+03,ETHUSD,85.64,14.36
2026-03-05 19:21:33.003033+03,ETHUSD,85.64,14.36
2026-03-05 19:27:46.320431+03,ETHUSD,85.63,14.37
2026-03-05 20:12:15.033864+03,ETHUSD,86.35,13.65
2026-03-05 20:24:43.649737+03,ETHUSD,86.14,13.86
2026-03-05 20:27:46.442235+03,ETHUSD,86.14,13.86
2026-03-05 20:28:17.532364+03,ETHUSD,86.14,13.86
2026-03-05 20:29:19.252906+03,ETHUSD,86.14,13.86
2026-03-05 20:30:51.038806+03,ETHUSD,86.14,13.86
2026-03-05 23:36:34.912477+03,ETHUSD,86.49,13.51
2026-03-05 23:37:35.962731+03,ETHUSD,86.5,13.5
2026-03-05 23:38:08.501969+03,ETHUSD,86.5,13.5
2026-03-05 23:38:40.954458+03,ETHUSD,86.5,13.5
2026-03-05 23:39:42.989529+03,ETHUSD,86.5,13.5
2026-03-05 23:40:17.383055+03,ETHUSD,86.5,13.5
2026-03-06 00:48:54.186476+03,ETHUSD,86.52,13.48
2026-03-06 00:52:22.701425+03,ETHUSD,86.59,13.41
2026-03-06 00:55:30.790124+03,ETHUSD,86.59,13.41
2026-03-06 00:56:26.782957+03,ETHUSD,86.59,13.41
2026-03-06 00:58:02.763088+03,ETHUSD,86.59,13.41
2026-03-06 01:02:45.773555+03,ETHUSD,86.59,13.41
2026-03-06 01:03:15.989459+03,ETHUSD,86.59,13.41
2026-03-06 01:04:19.82221+03,ETHUSD,86.59,13.41
