id,timeframe,computed_at,start_time,end_time,rows,latest_close,latest_score,buyers_plus_sellers_mean_abs_diff
3754,30m,2026-03-02 16:38:10.55784+03,2026-01-31 02:00:00+03,2026-03-02 16:00:00+03,1449,1933.765,-0.08900007122537026,7.845882520470396e-17
3755,1m,2026-03-02 16:39:09.123993+03,2026-01-31 02:11:00+03,2026-03-02 16:37:00+03,42902,1936.395,-0.0443598067864901,0
3756,5m,2026-03-02 16:39:09.423823+03,2026-01-31 02:10:00+03,2026-03-02 16:30:00+03,8601,1936.205,0.18212135830486048,2.4783492701782357e-17
3757,15m,2026-03-02 16:39:09.548357+03,2026-01-31 02:00:00+03,2026-03-02 16:15:00+03,2892,1933.765,-0.42417088722651847,6.388005231591495e-17
3758,30m,2026-03-02 16:39:09.638121+03,2026-01-31 02:00:00+03,2026-03-02 16:00:00+03,1449,1933.765,-0.08900007122537026,7.845882520470396e-17
3759,1m,2026-03-02 16:40:11.692316+03,2026-01-31 02:11:00+03,2026-03-02 16:38:00+03,42903,1936.665,-0.0443598067864901,0
3760,5m,2026-03-02 16:40:12.147076+03,2026-01-31 02:10:00+03,2026-03-02 16:30:00+03,8601,1936.205,0.18212135830486048,2.4783492701782357e-17
3761,15m,2026-03-02 16:40:12.326234+03,2026-01-31 02:00:00+03,2026-03-02 16:15:00+03,2892,1933.765,-0.42417088722651847,6.388005231591495e-17
3762,30m,2026-03-02 16:40:12.470438+03,2026-01-31 02:00:00+03,2026-03-02 16:00:00+03,1449,1933.765,-0.08900007122537026,7.845882520470396e-17
3763,1m,2026-03-02 16:41:12.784131+03,2026-01-31 02:11:00+03,2026-03-02 16:39:00+03,42904,1932.515,2.303902725987951,0
3764,5m,2026-03-02 16:41:13.260319+03,2026-01-31 02:10:00+03,2026-03-02 16:35:00+03,8602,1932.515,-0.8705856648795587,2.6432652341691707e-17
3765,15m,2026-03-02 16:41:13.4108+03,2026-01-31 02:00:00+03,2026-03-02 16:15:00+03,2892,1933.765,-0.42417088722651847,6.388005231591495e-17
3766,30m,2026-03-02 16:41:13.513121+03,2026-01-31 02:00:00+03,2026-03-02 16:00:00+03,1449,1933.765,-0.08900007122537026,7.845882520470396e-17
3767,1m,2026-03-02 16:42:13.788149+03,2026-01-31 02:11:00+03,2026-03-02 16:40:00+03,42905,1930.775,-0.08976244386966596,0
3768,5m,2026-03-02 16:42:14.321914+03,2026-01-31 02:10:00+03,2026-03-02 16:35:00+03,8602,1932.515,-0.8705856648795587,2.6432652341691707e-17
3770,30m,2026-03-02 16:42:14.707514+03,2026-01-31 02:00:00+03,2026-03-02 16:00:00+03,1449,1933.765,-0.08900007122537026,7.845882520470396e-17
3771,1m,2026-03-02 16:43:14.827472+03,2026-01-31 02:11:00+03,2026-03-02 16:41:00+03,42906,1930.795,-0.08976244386966596,0
3773,15m,2026-03-02 16:43:15.375872+03,2026-01-31 02:00:00+03,2026-03-02 16:15:00+03,2892,1933.765,-0.42417088722651847,6.388005231591495e-17
3775,1m,2026-03-02 16:44:17.266472+03,2026-01-31 02:11:00+03,2026-03-02 16:42:00+03,42907,1930.795,-0.08976244386966596,0
