id,timeframe,computed_at,regime,signal,confidence,entry_price,stop_loss,take_profit,hold_bars,reason,conf_regime,conf_tail,conf_backtest,rc,ar,score_mr,score_mom,volatility,params_json,outcome,pnl,exit_price,exit_ts,label_computed_at
10,5m,2026-03-02 10:33:19.008143+03,MOM,SELL,0.6451,1936.27,1941.36,1926.07,2,"Regime=MOM(rc=0.114,ar=0.139) | score_mom=-0.001057 vs +/-0.001032 | conf=0.65",0.5568,1,0.3333,0.114235,0.139208,0.193425,-0.001057,0.00263228,,LOSS,-0.00406112,1940.265,2026-03-02 10:40:00+03,2026-03-03 23:38:52.168902+03
11,5m,2026-03-02 10:34:18.430615+03,MOM,SELL,0.6451,1936.27,1941.36,1926.07,2,"Regime=MOM(rc=0.112,ar=0.139) | score_mom=-0.001057 vs +/-0.001032 | conf=0.65",0.5568,1,0.3333,0.11178,0.139208,0.193425,-0.001057,0.00263228,,LOSS,-0.00406112,1940.265,2026-03-02 10:40:00+03,2026-03-03 23:38:52.169629+03
12,5m,2026-03-02 10:35:25.619908+03,MOM,SELL,0.6451,1936.27,1941.36,1926.07,2,"Regime=MOM(rc=0.106,ar=0.139) | score_mom=-0.001057 vs +/-0.001032 | conf=0.65",0.5568,1,0.3333,0.105577,0.139208,0.193425,-0.001057,0.00263228,,LOSS,-0.00406112,1940.265,2026-03-02 10:40:00+03,2026-03-03 23:38:52.170284+03
13,5m,2026-03-02 10:36:26.430931+03,MOM,SELL,0.6332,1934.45,1939.5,1924.36,2,"Regime=MOM(rc=0.125,ar=0.133) | score_mom=-0.001046 vs +/-0.001038 | conf=0.63",0.5332,1,0.3333,0.125187,0.133291,0.551884,-0.001046,0.00260855,,LOSS,-0.00500151,1940.265,2026-03-02 10:40:00+03,2026-03-03 23:38:52.170863+03
14,5m,2026-03-02 10:37:28.653592+03,MOM,SELL,0.6332,1934.45,1939.5,1924.36,2,"Regime=MOM(rc=0.127,ar=0.133) | score_mom=-0.001046 vs +/-0.001038 | conf=0.63",0.5332,1,0.3333,0.126674,0.133291,0.551884,-0.001046,0.00260855,,LOSS,-0.00500151,1940.265,2026-03-02 10:40:00+03,2026-03-03 23:38:52.171885+03
15,5m,2026-03-02 10:38:29.088167+03,MOM,SELL,0.6332,1934.45,1939.5,1924.36,2,"Regime=MOM(rc=0.123,ar=0.133) | score_mom=-0.001046 vs +/-0.001038 | conf=0.63",0.5332,1,0.3333,0.123139,0.133291,0.551884,-0.001046,0.00260855,,LOSS,-0.00500151,1940.265,2026-03-02 10:40:00+03,2026-03-03 23:38:52.172681+03
16,5m,2026-03-02 10:39:27.78377+03,MOM,SELL,0.6332,1934.45,1939.5,1924.36,2,"Regime=MOM(rc=0.124,ar=0.133) | score_mom=-0.001046 vs +/-0.001038 | conf=0.63",0.5332,1,0.3333,0.124247,0.133291,0.551884,-0.001046,0.00260855,,LOSS,-0.00500151,1940.265,2026-03-02 10:40:00+03,2026-03-03 23:38:52.1735+03
18,5m,2026-03-02 17:27:04.027203+03,MR,SELL,0.5567,1928.95,1933.05,1925.55,3,"Regime=MR(rc=-0.095,ar=-0.025) | score_mr=3.323 vs [-0.404,0.504] | conf=0.56",0.3801,1,0.3333,-0.09503,-0.024616,3.323135,-0.000188,0.0017671,,LOSS,-0.02111422,1966.175,2026-03-02 17:40:00+03,2026-03-03 23:38:52.175402+03
19,5m,2026-03-02 17:28:18.472664+03,MR,SELL,0.6939,1928.95,1933.05,1925.55,3,"Regime=MR(rc=-0.164,ar=-0.025) | score_mr=3.323 vs [-0.404,0.504] | conf=0.69",0.6545,1,0.3333,-0.163627,-0.024616,3.323135,-0.000188,0.0017671,,LOSS,-0.02678934,1977.365,2026-03-02 17:45:00+03,2026-03-03 23:38:52.176374+03
31,5m,2026-03-03 05:08:28.888845+03,MR,BUY,0.5833,2010.91,2003.14,2017.39,2,"Regime=MR(rc=-0.108,ar=-0.147) | score_mr=-1.264 vs [-0.419,0.227] | conf=0.58",0.4333,1,0.3333,-0.108317,-0.147356,-1.264194,-0.000994,0.00227783,"{""a_min"": 0.1, ""mom_k"": 1.5, ""r_min"": 0.1, ""hold_bars"": 2, ""quantile_hi"": 0.9, ""quantile_lo"": 0.1, ""quantile_window"": 200}",LOSS,-0.00162959,2011.655,2026-03-03 05:10:00+03,2026-03-03 23:38:52.177378+03
